OBJECTID,OrganizationId,ESDCode,ESDNum,ESDName,LEACode,LEAName,ShortName,Label,PhysicalAddress,MailingAddress,AdministratorName,AdministratorEmail,Phone,Website,County,Counties,CongressionalDistricts,LegislativeDistricts,Type,TransportationRegion,Shape__Area,Shape__Length
15,100253,04801,171,North Central Educational Service District 171,04069,Stehekin School District,Stehekin,,"430 Olds Station Rd, Wenatchee, Washington, 98801","PO BOX 37, STEHEKIN, Washington, 98852-0037",Michelle  Price,michellep@ncesd.org,(509)665-2628,https://www.stehekinschool.org,Chelan,Chelan,8,12,Public School District,4,12226992315.5631,622239.663695933
16,100079,04801,171,North Central Educational Service District 171,04127,Entiat School District,Entiat,,"2650 ENTIAT WAY, ENTIAT, Washington, 98822-9710","2650 ENTIAT WAY, ENTIAT, Washington, 98822-9710",Miles  Caples,mcaples@entiatschools.org,(509)784-1800,https://www.entiatschools.org,Chelan,Chelan,8,12,Public School District,4,12325216040.9675,763478.357004048
17,100125,04801,171,North Central Educational Service District 171,04129,Lake Chelan School District,Lake Chelan,,"303 E JOHNSON AVE, CHELAN, Washington, 98816-0369","PO BOX 369, CHELAN, Washington, 98816-0369",Barry  DePaoli,depaolib@chelanschools.org,(509)682-3515,https://www.chelanschools.org,Chelan,"Chelan, Douglas, Okanogan","4, 8",12,Public School District,4,11132535550.4313,953866.384997757
18,100035,04801,171,North Central Educational Service District 171,04222,CASHMERE SCHOOL DISTRICT,Cashmere,,"210 S DIVISION ST, CASHMERE, Washington, 98815-1133","210 S DIVISION ST, CASHMERE, Washington, 98815-1133",GLENN ERICK JOHNSON,GJOHNSON@CASHMERE.WEDNET.EDU,(509)782-3355,https://www.cashmere.wednet.edu,Chelan,Chelan,8,12,Public School District,4,2800470265.33655,317182.132212542
19,100034,04801,171,North Central Educational Service District 171,04228,Cascade School District,Cascade,,"330 EVANS ST, LEAVENWORTH, Washington, 98826-1244","330 EVANS ST, LEAVENWORTH, Washington, 98826-1244",Tracey  Beckendorf-Edou,tbeckendorfedou@cascadesd.org,(509)548-5885,https://www.cascadesd.org/,Chelan,Chelan,8,12,Public School District,4,32793836904.823,1064652.68119859
20,100290,04801,171,North Central Educational Service District 171,04246,Wenatchee School District,Wenatchee,,"235 SUNSET AVE, WENATCHEE, Washington, 98801-1999","PO BOX 1767, WENATCHEE, Washington, 98801-1999",Paul  Gordon,gordon.paul@wenatcheeschools.org,(509)663-8161,https://www.wenatcheeschools.org/,Chelan,Chelan,8,12,Public School District,4,7130680670.90063,552630.021190904
21,100202,18801,114,Olympic Educational Service District 114,05121,Port Angeles School District,Port Angeles,,"905 W 9TH ST, PORT ANGELES, Washington, 98363-7275","905 W 9TH ST, PORT ANGELES, Washington, 98363-7275",Martin A Brewer,mbrewer@portangelesschools.org,(360)457-8575,https://www.portangelesschools.org/,Clallam,Clallam,6,24,Public School District,2,12145979990.7448,530629.10770378
22,100059,18801,114,Olympic Educational Service District 114,05313,Crescent School District,Crescent,,"50350 HWY 112, JOYCE, Washington, 98343-0020","PO BOX 20, JOYCE, Washington, 98343-0020",David  Bingham,dbingham@csd313.org,(360)928-3311,https://www.csd313.org,Clallam,Clallam,6,24,Public School District,2,11385635744.9469,558184.656845663
23,100233,18801,114,Olympic Educational Service District 114,05323,Sequim School District,Sequim,,"503 N SEQUIM AVE, SEQUIM, Washington, 98382-3161","503 N SEQUIM AVE, SEQUIM, Washington, 98382-3161",Jane  Pryne,jpryne@sequimschools.org,(360)582-3260,http://www.sequimschools.org/,Clallam,"Clallam, Jefferson",6,24,Public School District,2,13732100975.148,529872.626669608
24,100032,18801,114,Olympic Educational Service District 114,05401,Cape Flattery School District,Cape Flattery,,"13193 HWY 112, SEKIU, Washington, 98381-9747","PO BOX 109, SEKIU, Washington, 98381-9747",Michelle  Parkin,mparkin@cfsd.wednet.edu,(360)963-2075,https://www.cfsd401.org/,Clallam,Clallam,6,24,Public School District,2,20307262907.8789,645775.682948607
25,100210,18801,114,Olympic Educational Service District 114,05402,Quillayute Valley School District,Quillayute Valley,,"411 S SPARTAN AVE, FORKS, Washington, 98331-0060","411 S Spartan Ave, FORKS, Washington, 98331",Diana   Reaume,diana.reaume@qvschools.org,(360)374-6262,https://www.qvschools.org,Clallam,"Clallam, Jefferson",6,"24, 29",Public School District,2,25302432544.8072,695959.035259715
26,100278,06801,112,Educational Service District 112,06037,Vancouver School District,Vancouver,,"2901 FALK RD, VANCOUVER, Washington, 98661-5683","PO BOX 8937, VANCOUVER, Washington, 98661-5683",Steven T Webb,steven.webb@vansd.org,(360)313-1200,https://vansd.org/,Clark,Clark,3,"17, 18, 49",Public School District,1,1708356877.79362,220138.907238972
27,100106,06801,112,Educational Service District 112,06098,Hockinson School District,Hockinson,,"17912 NE 159TH ST, BRUSH PRAIRIE, Washington, 98606-9765","17912 NE 159TH ST, BRUSH PRAIRIE, Washington, 98606-9765",Steven  Marshall,steve.marshall@hocksd.org,(360)448-6400,https://www.hocksd.org,Clark,Clark,3,"17, 18",Public School District,1,1306689188.31827,212889.253146107
28,100122,06801,112,Educational Service District 112,06101,La Center School District,La Center,,"725 HIGHLAND ROAD, LA CENTER, Washington, 98629-5507","PO BOX 1840, LA CENTER, Washington, 98629-5507",David  Holmes,dave.holmes@lacenterschools.org,(360)263-2131,https://www.lacenterschools.org,Clark,Clark,3,18,Public School District,1,1077383619.09613,202319.065120869
29,100101,06801,112,Educational Service District 112,06103,Green Mountain School District,Green Mountain,,"13105 NE GRINNELL RD, WOODLAND, Washington, 98674-3808","13105 NE GRINNELL RD, WOODLAND, Washington, 98674-3808",Tyson J Vogeler,tyson.vogeler@greenmountainschool.us,(360)225-7366,https://greenmountainschool.us/,Clark,Clark,3,20,Public School District,1,715727280.451996,169336.379591105
30,100286,06801,112,Educational Service District 112,06112,Washougal School District,Washougal,,"4855 Evergreen Way, WASHOUGAL, Washington, 98671-9176","4855 Evergreen Way, WASHOUGAL, Washington, 98671-9176",Mary  Templeton,mary.templeton@washougalsd.org,(360)954-3005,http://www.washougal.k12.wa.us,Clark,"Clark, Skamania",3,"14, 18",Public School District,1,10291928575.2271,831872.805151784
31,100084,06801,112,Educational Service District 112,06114,Evergreen School District (Clark),Evergreen (Clark),,"13501 NE 28TH ST, VANCOUVER, Washington, 98668-8910","PO BOX 8910, VANCOUVER, Washington, 98668-8910",Michael  Merlino,Michael.Merlino@evergreenps.org,(360)604-4000,https://www.evergreenps.org,Clark,Clark,3,"17, 18, 49",Public School District,1,1331897465.40611,220728.22498031
32,100031,06801,112,Educational Service District 112,06117,Camas School District,Camas,,"841 NE 22nd Ave, CAMAS, Washington, 98607-1148","841 NE 22nd AVE, CAMAS, Washington, 98607-1148",Jeff  Snell,jeff.snell@camas.wednet.edu,(360)335-3000,https://www.camas.wednet.edu/,Clark,Clark,3,18,Public School District,1,1563752427.32716,252413.902576575
33,100018,06801,112,Educational Service District 112,06119,Battle Ground School District,Battle Ground,,"11104 NE 149TH ST, BATTLE GROUND, Washington, 98604-0200","PO BOX 200, BATTLE GROUND, Washington, 98604-0200",Mark  Ross,ross.mark@battlegroundps.org,(360)885-5302,https://www.battlegroundps.org,Clark,Clark,3,"17, 18",Public School District,1,7546043309.30679,540736.996977148
34,100219,06801,112,Educational Service District 112,06122,Ridgefield School District,Ridgefield,,"510 PIONEER STREET, RIDGEFIELD, Washington, 98642-9088","510 PIONEER STREET, RIDGEFIELD, Washington, 98642-9088",Nathan  McCann,nathan.mccann@ridgefieldsd.org,(360)619-1302,https://www.ridgefieldsd.org,Clark,Clark,3,18,Public School District,1,1579311648.50339,216254.964093189
35,100066,11801,123,Educational Service District 123,07002,Dayton School District,Dayton,,"609 S 2ND ST, DAYTON, Washington, 99328-1572","609 S 2ND ST, DAYTON, Washington, 99328-1572",Guy  Strot,guys@daytonsd.org,(509)382-2543,https://www.daytonsd.org/,Columbia,Columbia,5,16,Public School District,4,19225699257.2985,780938.533119031
36,100252,11801,123,Educational Service District 123,07035,Starbuck School District,Starbuck,,"717 TUCANNON ST, STARBUCK, Washington, 99359-0188","PO BOX 188, STARBUCK, Washington, 99359-0188",Kevin  Graffis,kgraffis@starbuck.k12.wa.us,(509)399-2381,https://www.facebook.com/starbuckschool/,Columbia,Columbia,5,16,Public School District,4,2885512383.36377,374567.74647146
37,100132,06801,112,Educational Service District 112,08122,Longview School District,Longview,,"2715 LILAC ST, LONGVIEW, Washington, 98632-3596","2715 LILAC ST, LONGVIEW, Washington, 98632-3596",Daniel Roy Zorn,dzorn@longview.k12.wa.us,(360)575-7016,https://longviewschools.com/,Cowlitz,Cowlitz,3,19,Public School District,1,3777840820.16763,353632.913097828
38,100271,06801,112,Educational Service District 112,08130,Toutle Lake School District,Toutle Lake,,"5050 SPIRIT LAKE HWY, TOUTLE, Washington, 98649-9701","5050 SPIRIT LAKE HWY, TOUTLE, Washington, 98649-9701",Bob  Garrett,bgarrett@toutlesd.org,(360)274-6182,https://www.toutlesd.org/,Cowlitz,Cowlitz,3,20,Public School District,1,6398217760.79816,433059.731518463
39,100036,06801,112,Educational Service District 112,08401,Castle Rock School District,Castle Rock,,"600 HUNTINGTON AVE S, CASTLE ROCK, Washington, 98611-8901","600 HUNTINGTON AVE S, CASTLE ROCK, Washington, 98611-8901",Ryan  Greene,rgreene@crschools.org,(360)501-2940,https://www.crschools.org,Cowlitz,"Cowlitz, Lewis",3,20,Public School District,1,4572793267.63055,475833.372033861
40,100113,06801,112,Educational Service District 112,08402,Kalama School District,Kalama,,"548 CHINA GARDEN RD, KALAMA, Washington, 98625-9764","548 CHINA GARDEN RD, KALAMA, Washington, 98625-9764",Eric Steven Nerison,eric.nerison@kalama.k12.wa.us,(360)673-5282,https://www.kalamaschools.org/,Cowlitz,Cowlitz,3,20,Public School District,1,5939284229.90343,526844.955746993
41,100302,06801,112,Educational Service District 112,08404,Woodland School District,Woodland,,"800 3RD ST, WOODLAND, Washington, 98674-8467","800 3RD ST, WOODLAND, Washington, 98674-8467",Michael Z. Green,greenm@woodlandschools.org,(360)841-2705,https://www.woodlandschools.org/,Cowlitz,"Clark, Cowlitz",3,20,Public School District,1,5585722053.68706,512989.38981903
42,100115,06801,112,Educational Service District 112,08458,Kelso School District,Kelso,,"601 CRAWFORD ST, KELSO, Washington, 98626-4398","601 CRAWFORD ST, KELSO, Washington, 98626-4398",Mary Beth  Tack,marybeth.tack@kelsosd.org,(360)501-1927,https://www.kelso.wednet.edu,Cowlitz,Cowlitz,3,"19, 20",Public School District,1,7211270893.08176,706942.85941975
43,100189,04801,171,North Central Educational Service District 171,09013,Orondo School District,Orondo,,"100 ORONDO SCHOOL RD, ORONDO, Washington, 98843-9723","100 ORONDO SCHOOL RD, ORONDO, Washington, 98843-9723",Dr. Ismael  Vivanco,ivivanco@orondo.wednet.edu,(509)784-1333,https://www.orondo.wednet.edu,Douglas,Douglas,4,12,Public School District,4,1078044433.27783,215537.651776657
44,100028,04801,171,North Central Educational Service District 171,09075,Bridgeport School District,Bridgeport,,"1400 Tacoma Avenue, BRIDGEPORT, Washington, 98813-1060","PO BOX 1060, BRIDGEPORT, Washington, 98813-1060",Scott  Sattler,ssattler@bridgeport.wednet.edu,(509)686-5656,https://www.bridgeport.wednet.edu,Douglas,"Douglas, Okanogan",4,12,Public School District,4,7588612829.51721,583280.689655539
45,100193,04801,171,North Central Educational Service District 171,09102,Palisades School District,Palisades,,"1114 PALISADES RD, PALISADES, Washington, 98845-9609","1114 PALISADES RD, PALISADES, Washington, 98845-9609",Eric  Johnson,ericj@ncesd.org,(509)884-8071,https://www.palisd.org/,Douglas,Douglas,4,12,Public School District,4,2195293285.0415,375949.953299722
46,100072,04801,171,North Central Educational Service District 171,09206,Eastmont School District,Eastmont,,"800 Eastmont Ave, EAST WENATCHEE, Washington, 98802-4443","800 Eastmont Ave, EAST WENATCHEE, Washington, 98802-4443",Garn  Christensen,christenseng@eastmont206.org,(509)884-7169,https://www.eastmont206.org/,Douglas,Douglas,"4, 8",12,Public School District,4,3825758225.42334,314408.358468032
47,100138,04801,171,North Central Educational Service District 171,09207,Mansfield School District,Mansfield,,"491 RD 14NE, MANSFIELD, Washington, 98830-0188","PO BOX 188, MANSFIELD, Washington, 98830-0188",Michael  Messenger,mmessenger@mansfield.wednet.edu,(509)683-1012,https://www.mansfield.wednet.edu/,Douglas,Douglas,4,12,Public School District,4,8597010242.32581,549883.696173378
48,100288,04801,171,North Central Educational Service District 171,09209,Waterville School District,Waterville,,"200 E BIRCH, WATERVILLE, Washington, 98858-0490","PO BOX 490, WATERVILLE, Washington, 98858-0490",Tabatha  Mires,tmires@waterville.wednet.edu,(509)888-5591,https://www.watervilleschool.org/,Douglas,Douglas,4,12,Public School District,4,12916448109.3282,634596.001321899
49,100114,32801,101,Educational Service District 101,10003,Keller School District,Keller,,"17 South School Road, KELLER, Washington, 99140-0367","PO BOX 367, KELLER, Washington, 99140-0367",Steve  Gaub,sgaub@keller.k12.wa.us,(509)634-4325,https://www.keller.k12.wa.us/,Ferry,Ferry,5,7,Public School District,5,16593024730.1893,586438.706726232
50,100061,32801,101,Educational Service District 101,10050,Curlew School District,Curlew,,"47 CURLEW SCHOOL RD, CURLEW, Washington, 99118-9748","PO BOX 370, CURLEW, Washington, 99118-9748",John  Glenewinkel,jgwinkel@curlew.wednet.edu,(509)779-4931,https://www.curlew.wednet.edu/,Ferry,"Ferry, Okanogan","4, 5",7,Public School District,5,10121988471.6453,456047.444428863
51,100188,32801,101,Educational Service District 101,10065,Orient School District,Orient,,"374 4th Ave, ORIENT, Washington, 99160","374 4th Ave, ORIENT, Washington, 99160",Sherry  Cowbrough,sherry.cowbrough@orientsd.org,(509)684-6873,http://www.orientsd.org/,Ferry,"Ferry, Stevens",5,7,Public School District,5,8650479462.41528,471317.242036529
52,100109,32801,101,Educational Service District 101,10070,Inchelium School District,Inchelium,,"2 HORNET AVE, INCHELIUM, Washington, 99138-0285","PO BOX 285, INCHELIUM, Washington, 99138-0285",Kim Alan Spacek,kspacek@inchelium.net,(509)722-6181 Ext.100,https://www.inchelium.wednet.edu/,Ferry,Ferry,5,7,Public School District,5,12017957985.1921,633233.221444692
53,100217,32801,101,Educational Service District 101,10309,Republic School District,Republic,,"30306 E HIGHWAY 20, REPUBLIC, Washington, 99166-8746","30306 E HIGHWAY 20, REPUBLIC, Washington, 99166-8746",Kevin  Young,kyoung@republicsd.org,(509)775-3173,https://www.republic309.org/,Ferry,"Ferry, Okanogan","4, 5",7,Public School District,5,13522599561.0535,629253.068687774
54,100195,11801,123,Educational Service District 123,11001,Pasco School District,Pasco,,"1215 W LEWIS ST, PASCO, Washington, 99301-5472","1215 W LEWIS ST, PASCO, Washington, 99301-5472",Michelle I. Whitney,mwhitney@psd1.org,(509)543-6700,https://www.psd1.org/,Franklin,Franklin,4,"9, 16",Public School District,4,8453157459.91858,452281.917003142
55,100168,11801,123,Educational Service District 123,11051,North Franklin School District,North Franklin,,"1100 W CLARK ST, CONNELL, Washington, 99326-0829","PO BOX 829, CONNELL, Washington, 99326-0829",Jim   Jacobs,jjacobs@nfsd.org,(509)234-2021,https://www.nfsd.org/,Franklin,"Adams, Franklin",4,9,Public School District,4,17494262867.6044,825837.860149352
56,100251,11801,123,Educational Service District 123,11054,Star School District No. 054,Star No. 054,,"24180 PASCO KAHLOTUS RD, PASCO, Washington, 99301-9738","P. O. Box 404, Mesa, Washington, 99343",Gregg  Taylor,gtaylor@starsd.org,(509)547-2704,https://www.starsd.org/,Franklin,Franklin,4,9,Public School District,4,2129581497.27472,259323.459629271
57,100112,11801,123,Educational Service District 123,11056,Kahlotus School District,Kahlotus,,"100 W MARTIN ST, KAHLOTUS, Washington, 99335-0069","PO BOX 69, KAHLOTUS, Washington, 99335-0069",Mark F. Bitzer,markfbitzer@kahlotussd.org,(509)282-3338 Ext.101,https://www.kahlotussd.org/,Franklin,Franklin,4,9,Public School District,4,6770118675.99158,540756.033912133
58,100201,11801,123,Educational Service District 123,12110,Pomeroy School District,Pomeroy,,"121 S 10th Street, POMEROY, Washington, 99347-0950","PO BOX 950, POMEROY, Washington, 99347-0950",Rachel  Gwinn,rgwinn@psd.wednet.edu,(509)843-3393,https://psd.wednet.edu/,Garfield,"Columbia, Garfield",5,9,Public School District,5,19205427042.8887,831284.761032357
59,100281,39801,105,Educational Service District 105,13073,Wahluke School District,Wahluke,,"411 E SADDLE MT DRIVE, MATTAWA, Washington, 99349-0952","PO BOX 907, MATTAWA, Washington, 99349-0952",Andrew   Harlow,anharlow@wahluke.net,(509)932-4565,https://www.wsd73.wednet.edu/,Grant,"Grant, Yakima",4,13,Public School District,4,7265912866.1767,433657.405792023
60,100212,04801,171,North Central Educational Service District 171,13144,Quincy School District,Quincy,,"119 J ST SW, QUINCY, Washington, 98848-1330","119 J ST SW, QUINCY, Washington, 98848-1330",John L Boyd,jboyd@qsd.wednet.edu,(509)787-4571,https://www.qsd.wednet.edu/,Grant,"Douglas, Grant",4,"12, 13",Public School District,4,12678722285.2914,571286.745731557
61,100285,04801,171,North Central Educational Service District 171,13146,Warden School District,Warden,,"101 W BECK WAY, WARDEN, Washington, 98857-9401","101 W BECK WAY, WARDEN, Washington, 98857-9401",David   LaBounty,dlabounty@warden.wednet.edu,(509)349-2366,https://www.warden.wednet.edu,Grant,"Adams, Grant",4,13,Public School District,4,4657671342.90857,437630.596943444
62,100057,04801,171,North Central Educational Service District 171,13151,Coulee-Hartline School District,Coulee-Hartline,,"410 W LOCUST ST, COULEE CITY, Washington, 99115-0428","PO BOX 428, COULEE CITY, Washington, 99115-0428",James  Evans,jevans@achwarriors.com,(509)632-5231,http://www.achsd.org/,Grant,"Douglas, Grant",4,12,Public School District,4,16891127857.9679,817610.491035943
63,100241,04801,171,North Central Educational Service District 171,13156,Soap Lake School District,Soap Lake,,"410 GINKGO ST S, SOAP LAKE, Washington, 98851-0158","410 GINKGO ST S, SOAP LAKE, Washington, 98851-0158",Sunshine  Pray,spray@slschools.org,(509)246-1822,https://www.slschools.org,Grant,Grant,4,12,Public School District,4,2086614939.83398,213599.327768509
64,100226,39801,105,Educational Service District 105,13160,Royal School District,Royal,,"901 Ahlers Rd, Royal City, Washington, 99357-0486","PO Box 486, Royal City, Washington, 99357-0486",Roger  Trail,rtrail@royalsd.org,(509)346-2222,https://royalsd.org/,Grant,Grant,4,13,Public School District,4,11059256947.1755,491563.875817503
65,100153,04801,171,North Central Educational Service District 171,13161,Moses Lake School District,Moses Lake,,"1620 S Pioneer Way, MOSES LAKE, Washington, 98837","1620 S Pioneer Way, MOSES LAKE, Washington, 98837",  ,,,https://www.mlsd161.org,Grant,Grant,4,13,Public School District,4,12784301492.2126,601392.593841992
66,100081,04801,171,North Central Educational Service District 171,13165,Ephrata School District,Ephrata,,"111 4TH AVE NW, EPHRATA, Washington, 98823","111 4TH AVE NW, EPHRATA, Washington, 98823-1690",Timothy A   Payne,tpayne@ephrataschools.org,(509)754-2474,https://www.ephrataschools.org/,Grant,"Douglas, Grant",4,13,Public School District,4,9137807535.55872,638883.901106816
67,100298,04801,171,North Central Educational Service District 171,13167,Wilson Creek School District,Wilson Creek,,"400 NAVAR ST, WILSON CREEK, Washington, 98860-0046","PO BOX 46, WILSON CREEK, Washington, 98860-0046",Laura M Christian,lchristian@wilsoncreek.org,(509)345-2541,http://www.wilsoncreek.org,Grant,"Grant, Lincoln","4, 5",13,Public School District,4,7351036079.91675,532655.046467377
68,100095,04801,171,North Central Educational Service District 171,13301,Grand Coulee Dam School District,Grand Coulee Dam,,"110 STEVENS AVE, COULEE DAM, Washington, 99116-1503","110 Stevens Ave., COULEE DAM, Washington, 99116-1503",Paul  Turner,pturner@gcdsd.org,(509)633-2143,https://www.gcdsd.org,Grant,"Douglas, Grant, Lincoln, Okanogan","4, 5",12,Public School District,5,8864697122.10962,483110.907296437
69,100010,34801,113,Capital Region ESD 113,14005,Aberdeen School District,Aberdeen,,"216 N G ST, ABERDEEN, Washington, 98520-5297","216 N G ST, ABERDEEN, Washington, 98520-5297",Alicia  Henderson,ahenderson@asd5.org,(360)538-2002,https://www.asd5.org,Grays Harbor,Grays Harbor,6,19,Public School District,1,2010366677.45352,310782.020675886
70,100108,34801,113,Capital Region ESD 113,14028,Hoquiam School District,Hoquiam,,"325 W. Chenault Avenue, HOQUIAM, Washington, 98550-2419","325 W. Chenault Avenue, HOQUIAM, Washington, 98550-2419",Mike  Villarreal,mvillarreal@hoquiam.net,(360)538-8200,https://www.hoquiam.net/,Grays Harbor,Grays Harbor,6,24,Public School District,1,5588718028.95901,339853.108250015
71,100167,34801,113,Capital Region ESD 113,14064,North Beach School District,North Beach,,"336 STATE ROUTE 113, OCEAN SHORES, Washington, 98569-9563","PO BOX 159, OCEAN SHORES, Washington, 98569-9563",Andrew E. Kelly,akelly@northbeachschools.org,(360)289-2447,https://www.northbeachschools.org,Grays Harbor,Grays Harbor,6,24,Public School District,1,5728049134.10727,384267.853983846
72,100143,34801,113,Capital Region ESD 113,14065,McCleary School District,McCleary,,"611 S MAIN ST, MCCLEARY, Washington, 98557-9524","611 S MAIN ST, MCCLEARY, Washington, 98557-9524",Shannon  Ramsey,sramsey@mccleary.wednet.edu,(360)495-3507,https://www.mccleary.wednet.edu,Grays Harbor,"Grays Harbor, Mason",6,24,Public School District,1,741388274.222961,145211.046162181
73,100151,34801,113,Capital Region ESD 113,14066,Montesano School District,Montesano,,"502 E. Spruce Ave, MONTESANO, Washington, 98563","502 E. Spruce Ave, MONTESANO, Washington, 98563",Dan  Winter,dwinter@monteschools.org,(360)249-3942,https://www.monteschools.org,Grays Harbor,Grays Harbor,6,19,Public School District,1,6289553784.84406,548882.186713452
74,100077,34801,113,Capital Region ESD 113,14068,Elma School District,Elma,,"1235 MONTE ELMA RD, ELMA, Washington, 98541-9038","1235 MONTE ELMA RD, ELMA, Washington, 98541-9038",Kevin  Acuff,kacuff@eagles.edu,(360)482-2822,https://www.eagles.edu/,Grays Harbor,"Grays Harbor, Mason",6,24,Public School District,1,4888677559.91663,521461.975486407
75,100262,34801,113,Capital Region ESD 113,14077,Taholah School District,Taholah,,"600 CHITWHIN DR, TAHOLAH, Washington, 98587-0249","PO BOX 249, TAHOLAH, Washington, 98587-0249",Kathleen  Werner,kwerner@taholah.org,(360)276-4780,https://www.taholah.org,Grays Harbor,Grays Harbor,6,24,Public School District,1,9537844538.185,429285.772357559
